x,y,prim,raw
26,158,LUT,SLICE_X26Y158
27,158,LUT,SLICE_X27Y158
30,158,LUT,SLICE_X30Y158
32,158,LUT,SLICE_X32Y158
33,158,LUT,SLICE_X33Y158
35,158,LUT,SLICE_X35Y158
36,158,LUT,SLICE_X36Y158
38,158,LUT,SLICE_X38Y158
41,158,LUT,SLICE_X41Y158
44,158,LUT,SLICE_X44Y158
46,158,LUT,SLICE_X46Y158
47,158,LUT,SLICE_X47Y158
0,157,LUT,SLICE_X0Y157
2,157,LUT,SLICE_X2Y157
3,157,LUT,SLICE_X3Y157
6,157,LUT,SLICE_X6Y157
7,157,LUT,SLICE_X7Y157
8,157,LUT,SLICE_X8Y157
10,157,LUT,SLICE_X10Y157
11,157,LUT,SLICE_X11Y157
12,157,LUT,SLICE_X12Y157
13,157,LUT,SLICE_X13Y157
15,157,LUT,SLICE_X15Y157
17,157,LUT,SLICE_X17Y157
18,157,LUT,SLICE_X18Y157
21,157,LUT,SLICE_X21Y157
22,157,LUT,SLICE_X22Y157
23,157,LUT,SLICE_X23Y157
25,157,LUT,SLICE_X25Y157
26,157,LUT,SLICE_X26Y157
27,157,LUT,SLICE_X27Y157
30,157,LUT,SLICE_X30Y157
32,157,LUT,SLICE_X32Y157
33,157,LUT,SLICE_X33Y157
35,157,LUT,SLICE_X35Y157
36,157,LUT,SLICE_X36Y157
38,157,LUT,SLICE_X38Y157
41,157,LUT,SLICE_X41Y157
44,157,LUT,SLICE_X44Y157
46,157,LUT,SLICE_X46Y157
47,157,LUT,SLICE_X47Y157
0,156,LUT,SLICE_X0Y156
2,156,LUT,SLICE_X2Y156
3,156,LUT,SLICE_X3Y156
6,156,LUT,SLICE_X6Y156
7,156,LUT,SLICE_X7Y156
8,156,LUT,SLICE_X8Y156
10,156,LUT,SLICE_X10Y156
11,156,LUT,SLICE_X11Y156
12,156,LUT,SLICE_X12Y156
13,156,LUT,SLICE_X13Y156
15,156,LUT,SLICE_X15Y156
17,156,LUT,SLICE_X17Y156
